,subject,score,display,question,dimension,question_number,qdirection,item
6,sub001,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
18,sub001,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
24,sub001,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
30,sub001,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
36,sub001,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
42,sub001,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
48,sub001,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
54,sub001,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
60,sub001,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
66,sub001,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
72,sub001,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
78,sub001,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
84,sub001,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
90,sub001,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
96,sub001,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
102,sub001,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
108,sub001,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
120,sub001,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
126,sub001,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
132,sub001,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
138,sub001,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
144,sub001,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
150,sub001,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
156,sub001,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
162,sub001,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
168,sub001,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
174,sub001,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
180,sub001,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
186,sub001,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
192,sub001,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
198,sub001,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
204,sub001,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
210,sub001,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
216,sub001,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
222,sub001,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
228,sub001,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
234,sub001,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
246,sub001,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
252,sub001,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
264,sub001,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
270,sub001,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
276,sub001,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
282,sub001,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
294,sub001,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
304,sub002,1.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
310,sub002,1.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
316,sub002,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
328,sub002,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
346,sub002,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
352,sub002,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
358,sub002,0.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
364,sub002,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
370,sub002,1.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
376,sub002,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
382,sub002,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
388,sub002,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
394,sub002,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
400,sub002,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
406,sub002,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
412,sub002,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
418,sub002,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
424,sub002,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
430,sub002,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
436,sub002,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
442,sub002,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
448,sub002,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
454,sub002,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
466,sub002,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
472,sub002,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
484,sub002,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
490,sub002,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
496,sub002,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
502,sub002,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
508,sub002,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
514,sub002,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
520,sub002,1.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
526,sub002,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
532,sub002,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
538,sub002,1.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
544,sub002,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
550,sub002,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
556,sub002,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
